iter	RMSE
0	14.18519545
1	13.28098497
2	12.52715006
3	11.76308314
4	11.05339791
5	10.46592848
6	9.940256461
7	9.449534423
8	9.065830783
9	8.637354453
10	8.257961228
11	7.936868574
12	7.681040859
13	7.408091994
14	7.194459965
15	6.958900766
16	6.782688746
17	6.597523583
18	6.428745685
19	6.316001528
20	6.208380142
21	6.099038049
22	5.989239578
23	5.892405143
24	5.806779926
25	5.754176528
26	5.677168943
27	5.617004858
28	5.560299008
29	5.51413398
30	5.462941902
31	5.420337092
32	5.386268521
33	5.350106631
34	5.305517904
35	5.274213812
36	5.247712733
37	5.227200709
38	5.207283603
39	5.184686831
40	5.163495316
41	5.144507557
42	5.12891575
43	5.118481748
44	5.096358001
45	5.082427886
46	5.064897428
47	5.044525626
48	5.024655514
49	5.006291436
50	4.993853292
51	4.976285496
52	4.958394567
53	4.949506481
54	4.934976155
55	4.923654907
56	4.914457745
57	4.899948198
58	4.882637138
59	4.881552487
60	4.864576964
61	4.856231115
62	4.844589399
63	4.836670186
64	4.823605675
65	4.80972636
66	4.804494253
67	4.788961834
68	4.781020817
69	4.757405062
70	4.748503368
71	4.742469782
72	4.737070006
73	4.725445798
74	4.707689062
75	4.696881616
76	4.686042972
77	4.680189541
78	4.662191069
79	4.65303385
80	4.636619125
81	4.627391792
82	4.622760884
83	4.606963794
84	4.595416829
85	4.582910799
86	4.569326094
87	4.558350416
88	4.549604718
89	4.54447116
90	4.525855666
91	4.519991303
92	4.506898842
93	4.502527827
94	4.484165864
95	4.472147758
96	4.45986396
97	4.442635793
98	4.433144031
99	4.426325479
