iter	Passed	Remaining
0	58	58335
1	58	29313
2	59	19625
3	59	14836
4	60	11953
5	60	10004
6	60	8643
7	61	7588
8	61	6785
9	61	6135
10	62	5614
11	62	5167
12	63	4801
13	63	4486
14	64	4213
15	64	3973
16	65	3760
17	65	3563
18	66	3428
19	66	3269
20	67	3125
21	67	2996
22	67	2880
23	68	2778
24	68	2689
25	69	2599
26	69	2519
27	70	2440
28	70	2367
29	71	2301
30	71	2238
31	71	2174
32	72	2116
33	72	2066
34	73	2021
35	73	1972
36	73	1925
37	74	1880
38	74	1839
39	75	1800
40	75	1769
41	75	1732
42	76	1699
43	76	1666
44	77	1634
45	77	1605
46	77	1578
47	78	1551
48	78	1525
49	78	1499
50	80	1489
51	80	1465
52	80	1441
53	81	1420
54	81	1398
55	81	1380
56	82	1362
57	82	1345
58	83	1326
59	83	1308
60	83	1292
61	84	1276
62	84	1261
63	85	1246
64	85	1231
65	85	1216
66	86	1200
67	86	1184
68	86	1170
69	87	1158
70	87	1145
71	87	1132
72	88	1129
73	89	1117
74	89	1105
75	90	1095
76	91	1091
77	91	1079
78	91	1070
79	92	1060
80	92	1050
81	93	1041
82	93	1031
83	93	1021
84	93	1011
85	94	1003
86	94	993
87	95	988
88	95	978
89	95	969
90	96	960
91	96	952
92	96	945
93	97	938
94	97	930
95	98	923
96	98	915
97	98	907
98	98	900
99	99	894
100	99	888
101	100	880
102	100	874
103	100	868
104	101	862
105	101	856
106	102	851
107	102	845
108	102	839
109	103	835
110	103	830
111	103	824
112	104	819
113	104	814
114	105	810
115	105	804
116	105	798
117	106	794
118	106	789
119	107	785
120	107	780
121	107	775
122	107	769
123	108	764
124	108	760
125	109	756
126	109	752
127	109	746
128	109	742
129	110	738
130	110	735
131	111	732
132	111	728
133	112	724
134	112	721
135	112	716
136	113	713
137	113	708
138	113	705
139	114	701
140	114	698
141	115	695
142	115	691
143	115	689
144	116	686
145	116	683
146	117	680
147	117	677
148	118	675
149	118	671
150	119	669
151	119	666
152	119	663
153	120	659
154	120	657
155	121	654
156	121	651
157	121	648
158	121	645
159	122	642
160	122	639
161	123	636
162	123	634
163	123	630
164	124	628
165	124	625
166	124	623
167	125	620
168	125	618
169	126	615
170	126	613
171	127	611
172	127	609
