iter	Passed	Remaining
0	60	60267
1	61	30684
2	61	20546
3	62	15471
4	62	12429
5	62	10409
6	63	8951
7	63	7856
8	63	7013
9	63	6335
10	64	5781
11	64	5320
12	64	4933
13	65	4599
14	65	4305
15	65	4055
16	66	3835
17	66	3637
18	67	3461
19	67	3301
20	67	3158
21	68	3026
22	68	2904
23	68	2790
24	68	2690
25	69	2597
26	69	2510
27	70	2438
28	70	2365
29	71	2298
30	71	2234
31	71	2171
32	72	2112
33	72	2058
34	72	2010
35	73	1961
36	73	1922
37	74	1881
38	74	1838
39	74	1798
40	75	1764
41	75	1728
42	76	1696
43	76	1665
44	76	1632
45	77	1603
46	77	1579
47	78	1556
48	78	1529
49	79	1502
50	79	1479
51	79	1456
52	80	1433
53	80	1411
54	80	1390
55	81	1369
56	81	1351
57	82	1332
58	82	1315
59	82	1298
60	83	1282
61	83	1267
62	84	1250
63	84	1234
64	84	1218
65	85	1205
66	85	1190
67	85	1176
68	86	1164
69	86	1152
70	87	1140
71	87	1127
72	87	1116
73	88	1105
74	88	1093
75	88	1081
76	89	1071
77	89	1061
78	90	1050
79	90	1043
80	91	1033
81	91	1023
82	91	1011
83	91	1001
84	92	992
85	92	983
86	92	975
87	93	967
88	93	959
89	94	951
90	94	943
91	94	936
92	95	929
93	95	922
94	96	916
95	96	909
96	96	901
97	97	895
98	97	889
99	98	883
100	98	877
101	98	870
102	99	863
103	99	858
104	100	852
105	100	846
106	100	842
107	101	837
108	101	831
109	102	825
110	102	820
111	102	814
112	102	808
113	103	803
114	103	797
115	104	792
116	104	788
117	104	783
118	105	779
119	105	775
120	106	770
121	106	766
122	106	761
123	107	757
124	107	753
125	107	748
126	108	744
127	108	741
128	109	737
129	109	732
130	109	728
131	110	724
132	110	720
133	111	717
134	111	713
135	111	709
136	112	706
137	112	703
138	112	699
139	113	696
140	114	697
141	114	692
142	114	688
143	115	685
144	115	683
145	116	679
146	116	676
147	116	672
148	117	669
149	117	666
150	117	663
151	118	661
152	119	659
153	119	655
154	119	653
155	120	651
156	120	647
157	121	645
158	121	642
159	121	639
160	122	636
161	122	633
162	123	634
163	123	631
164	124	628
165	124	626
166	125	624
167	125	621
168	125	618
169	126	615
170	126	613
171	127	611
172	127	609
173	127	607
174	128	604
175	129	604
176	129	602
177	129	599
178	130	597
179	130	594
180	130	592
181	131	589
182	131	587
183	131	584
184	132	582
185	132	580
186	133	578
187	133	576
188	133	574
189	134	572
190	134	570
191	134	567
192	135	565
193	135	563
194	136	561
195	136	559
196	136	557
197	137	555
198	137	553
199	137	551
200	138	549
201	138	547
202	138	545
203	139	543
204	139	541
205	139	539
206	140	537
207	140	535
208	141	534
209	141	532
210	141	530
211	142	529
212	142	526
213	143	525
214	143	523
215	143	521
216	144	519
217	144	518
218	144	516
219	145	514
220	145	512
221	145	511
222	146	509
223	146	507
224	146	505
225	147	503
226	147	502
227	147	500
228	148	498
229	148	497
230	148	495
231	149	494
232	149	492
233	150	491
234	150	489
235	150	487
236	151	486
237	151	485
238	151	483
239	152	482
240	152	480
241	153	479
242	153	477
243	153	476
244	154	475
245	154	473
246	154	472
247	155	470
248	155	469
249	155	467
250	156	466
251	156	465
252	157	464
253	157	463
254	158	461
255	158	460
256	158	459
257	159	457
258	159	456
259	159	455
260	160	453
261	160	453
262	161	451
263	161	450
264	161	449
265	162	447
266	162	446
267	162	445
268	163	443
269	163	442
270	164	441
271	164	440
272	164	438
273	165	437
274	165	436
275	165	434
276	166	433
277	166	432
278	166	431
279	167	429
280	167	428
281	167	427
282	168	426
283	168	425
284	168	423
285	169	422
286	169	421
287	170	420
288	170	419
289	170	418
290	171	416
291	171	415
292	171	414
293	172	413
294	172	412
295	172	411
296	173	410
297	173	409
298	173	407
299	174	406
300	174	405
301	175	404
302	175	403
303	175	402
304	176	401
305	176	400
306	176	398
307	177	397
308	177	396
309	177	395
310	178	394
311	178	393
312	178	392
313	179	391
314	179	390
315	179	389
316	180	388
317	180	387
318	180	386
319	181	385
320	181	384
321	182	383
322	182	382
323	182	381
324	183	380
325	183	379
326	183	378
327	184	377
328	184	376
329	185	375
330	185	374
331	185	373
332	186	372
333	186	372
334	187	372
335	187	371
336	188	370
337	188	369
338	189	368
339	189	367
340	189	366
341	190	365
342	190	364
343	190	363
344	191	362
345	191	361
346	191	360
347	192	359
348	192	359
349	192	357
350	193	357
351	193	356
352	193	355
353	194	354
354	194	353
355	194	352
356	195	352
